source	target	category	domain	source_tag	status	scope	notes
Psychic Assault	心灵突袭	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	灵能系直接攻击技能类型
Thought-Forms	思维形态	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	灵能塑造的精神体技能类型；不使用“具象之弧”
mentalism	心灵术	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	心灵能力技能类型；不是哲学上的唯心主义
slumber	沉睡	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	深度睡眠技能类型；与施加催眠的动作区分
dread	惊骇	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	dlc	兽人战役 steam talent type；不是 Dread 召唤物名称
dreadmaster	噩灵之王	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	Dreadmaster 技能类别
taints	污印	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	堕落系技能类型
steam	蒸汽	T.GAME.TALENT_CATEGORY	talents	talent category	existing	dlc	Embers of Rage 技能类别
demon seeds	恶魔之种	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
demonic pact	恶魔契约	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
infernal combat	地狱格斗	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
doom shield	毁灭之盾	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
black-magic	黑暗魔法	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
doom covenant	末日契约	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
spellblaze	魔法大爆炸	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
brutality	残暴	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
torture	折磨	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
wrath	愤怒	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
Fearfire	恐惧之炎	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
Heart of Fire	狱火之核	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
demonic strength	恶魔之力	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
Oppression	压制	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
doomelf	魔化精灵	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Ashes of Urh'Rok 技能树/技能类别名
tentacles	触手	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
horrific body	恐怖身躯	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
writhing body	扭曲身体	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
path of horror	恐魔之路	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
controlled horrors	恐魔操控	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
nether	彼世	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
void	虚空	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
entropy	熵	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
timethief	窃时	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
oblivion	毁灭	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
rift	裂隙	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
chronophage	噬宙	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
doom	末日	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	dlc	Cults of Entropy 技能树/技能类别名；P1 审核确认
prophecy	预言	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
calamity	灾厄	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
beyond sanity	非理性	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
drem	德瑞姆	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
krog	克罗格	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
parasite	寄生	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Cults of Entropy 技能树/技能类别名
object techniques	物品战技	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
yeti	雪人	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
whitehooves	白蹄	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
gestalt	格式塔	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
action at a distance	远程动作	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
psionic fog	灵能之雾	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
galvanic technomancy	科技法术：放电	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
terrene technomancy	科技法术：寒岩	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
occult technomancy	科技法术：玄机	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
other technomancy	科技法术：其他	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
armament	武装	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
assault	强袭	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
implants	植入体	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
physics	物理	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
chemistry	化学	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
engineering	工程	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
sawmaiming	链锯	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
battlefield management	战地控制	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
battle machinery	战术机械	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
automation	自动化	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
psytech gunnery	灵能射击	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
thoughts of iron	钢铁意志	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
mechstar	机械灵晶	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
magnetism	磁力	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	dlc	Embers of Rage 技能树类别名；使用名词性的磁力，不作过程含义的“磁化”
demolition	爆破	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
gadgets	工具	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
heavy weapons	重装武器	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
turrets	炮台	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
artillery	火炮	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
mecharachnid	机械蜘蛛	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
chemical warfare	化学武器	T.GAME.TALENT_CATEGORY	talents	talent type	existing	dlc	Embers of Rage 技能树/技能类别名
elusiveness	飘忽身法	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	dlc	Embers of Rage 斗篷机动技能树类别名；指难以捉摸的身法，不作“狡诈”
steamtech	蒸汽科技	T.GAME.TALENT_CATEGORY	talents	talent category	existing	dlc	
Manathrust	奥术射线	T.GAME.TALENT	talents	talent name	existing	core	
Garkul's Revenge	加库尔的复仇	T.GAME.TALENT	talents	talent name	existing	core	
Life Tap	生命分流	T.GAME.TALENT	talents	talent name	existing	core	
Paradox Clone	悖论分身	T.GAME.TALENT	talents	talent name	preferred	core	召唤未来的自己并随后将本体拉回过去，形成时间悖论；不译作“无序克隆”
Cursed Sentry	诅咒护卫	T.GAME.TALENT	talents	talent name	existing	core	
Ghoulish Leap	定向跳跃	T.GAME.TALENT	talents	talent name	existing	core	
Psionic Disruption	灵能瓦解	T.GAME.TALENT	talents	talent name	existing	dlc	
Mana Clash	奥术对撞	T.GAME.TALENT	talents	talent name	existing	core	
Acid Spray	酸液喷吐	T.GAME.TALENT	talents	talent name	existing	global	
Blindside	闪电突袭	T.GAME.TALENT	talents	talent name	preferred	core	技能会以极快速度瞬移至目标身边并攻击；按机制译作“闪电突袭”，不按普通动词字面译作“偷袭”
Call of Amakthel	阿马克泰尔的呼唤	T.GAME.TALENT	talents	talent name	existing	global	
Crush	压碎	T.GAME.TALENT	talents	talent name	existing	core	
Death Dance	死亡之舞	T.GAME.TALENT	talents	talent name	existing	core	
Defensive Throw	闪身投掷	T.GAME.TALENT	talents	talent name	preferred	core	空手闪避近战攻击后将目标摔倒的防御性投掷；统一技能名、战斗日志与状态说明，不与 Counterstrike“反击”混用
Fade	消隐	T.GAME.TALENT	talents	talent name	existing	core	
Fireflash	爆裂火球	T.GAME.TALENT	talents	talent name	existing	core	
Flame	火球术	T.GAME.TALENT	talents	talent name	existing	core	
Flameshock	火焰冲击	T.GAME.TALENT	talents	talent name	existing	core	
Frenzy	狂热	T.GAME.TALENT	talents	talent name	existing	global	
Frost Grab	冰霜飞爪	T.GAME.TALENT	talents	talent name	existing	global	
Kick	踢	T.GAME.TALENT	talents	talent name	existing	global	
Lightning	闪电术	T.GAME.TALENT	talents	talent name	existing	core	
Overgrowth	过度生长	T.GAME.TALENT	talents	talent name	existing	dlc	
Phase Door	相位之门	T.GAME.TALENT	talents	talent name	existing	core	
Self-destruction	自爆	T.GAME.TALENT	talents	talent name	existing	global	
Silence	沉默	T.GAME.TALENT	talents	talent name	existing	global	
Stunning Blow	震慑打击	T.GAME.TALENT	talents	talent name	existing	core	
Sunshield	太阳护盾	T.GAME.TALENT	talents	talent name	existing	core	
Tumble	翻筋斗	T.GAME.TALENT	talents	talent name	existing	core	
Vault	撑杆跳	T.GAME.TALENT	talents	talent name	existing	core	
Warshout	战争怒吼	T.GAME.TALENT	talents	talent name	existing	core	
Mind Sear	心灵灼烧	T.GAME.TALENT	talents	talent name	preferred	core	sear 指灼烧；技能机制虽为射线，名称不增译“光束”
Psychic Lobotomy	心灵脑叶切除	T.GAME.TALENT	talents	talent name	preferred	core	与技能日志中的 lobotomy 统一
Slumber	沉睡	T.GAME.TALENT	talents	talent name	preferred	core	技能名；指睡眠状态，不是催眠动作
Thought-Forms	思维形态	T.GAME.TALENT	talents	talent name	preferred	core	技能名及同系技能前缀统一
Trance of Purity	净化入定	T.GAME.TALENT	talents	talent name	preferred	core	Trance 技能系列
Trance of Well-Being	康健入定	T.GAME.TALENT	talents	talent name	preferred	core	Trance 技能系列
Trance of Focus	专注入定	T.GAME.TALENT	talents	talent name	preferred	core	Trance 技能系列
Deep Trance	深度入定	T.GAME.TALENT	talents	talent name	preferred	core	Trance 技能系列
Constrict	缠绕	T.GAME.TALENT	talents	talent name	preferred	core	1.8beta 在技能名、状态和战斗日志中统一使用
Dread	噩灵	T.GAME.TALENT	talents	talent name	preferred	core	召唤物名称；与恐惧类普通文本区分
Dreadmaster	噩灵之王	T.GAME.TALENT	talents	talent name	preferred	core	Dread 的升级召唤物
Infusion: Wild	纹身：野性	T.GAME.TALENT	talents	talent name	preferred	core	1.8beta 统一 Wild infusion 的译名
Infusion: Wild Growth	纹身：野性生长	T.GAME.TALENT	talents	talent name	preferred	core	与 1.8beta 统一为“野性生长”
Rune: Acid Wave	符文：酸浪	T.GAME.TALENT	talents	talent name	preferred	core	与 1.8beta 统一为“酸浪”
Rune: Biting Gale	符文：冰风	T.GAME.TALENT	talents	talent name	preferred	core	与 1.8beta 统一为“冰风”
Rune: Dissipation	符文：消散	T.GAME.TALENT	talents	talent name	preferred	core	与 1.8beta 统一为“消散”
Rune: Manasurge	符文：法力涌动	T.GAME.TALENT	talents	talent name	preferred	core	与 1.8beta 统一为“法力涌动”
Shockwave Bomb	冲击波炸弹	T.GAME.TALENT	talents	talent name	preferred	core	比“烈性炸弹”更准确地对应 shockwave
Forced Gestalt	强制格式塔	T.GAME.TALENT	talents	talent name	existing	dlc	Embers of Rage 技能名；表示将格式塔强加于敌人，并非“强力”
Foul Convergence	污秽夹击	T.GAME.TALENT	talents	talent name	preferred	dlc	与蠕行者一同传送到敌人身边夹击（WORM_THAT_STABS）；官方“夹击”；P2 审核确认
Electron Incantation	电子咒式	T.GAME.TALENT	talents	talent name	existing	dlc	Embers of Rage 科技法术技能名；与同名状态统一
Resolve	坚定意志	T.GAME.TALENT	talents	talent name	existing	core	反魔技能名；与同名临时效果及状态日志统一
Slime Roots	史莱姆根须	T.GAME.TALENT	talents	talent name	preferred	core	史莱姆系位移技能名；roots 指钻入地下的根须，避免与 Tentacle Grab 的触须混淆
Cosmic Cycle	宇宙圈	T.GAME.TALENT	talents	talent name	preferred	core	时空系天赋名及机制称谓；描述中统一不用“宇宙轮回”
Polarity Shift	极性转换	T.GAME.TALENT	talents	talent name	preferred	core	宇宙圈极性切换天赋；polarity 译作“极性”，不是“奇点”
Polarity Bolt	极性飞弹	T.GAME.TALENT	talents	_t	preferred	core	极性转换触发的追踪飞弹；与 Polarity Shift 的“极性”统一
Temporal Hounds	时空猎犬	T.GAME.TALENT	talents	talent type	preferred	core	时空系召唤技能类别及生物称谓；统一不用“时空猎狗”
Manifold	多重效应	T.GAME.TALENT	talents	talent type	preferred	core	Weapon Folding 可触发的多种被动效果类别；区别于 Spacetime Folding“时空折叠”
Age Manipulation	年龄操纵	T.GAME.TALENT	talents	talent type	preferred	core	操纵生物年龄的时空技能类别，不泛化为“时光操纵”
paradox	紊乱	T.GAME.TALENT	talents	talent type	preferred	core	时空技能类别名；资源数值在其他语境使用“紊乱值”
two-handed maiming	双手重创	T.GAME.TALENT	talents	talent type	preferred	core	双手武器致残系技能类别；区别于 two-handed assault“双手战技”
Haste of the Doomed	末日加速	T.GAME.TALENT	talents	talent name	preferred	dlc	Ashes of Urh'Rok 魔化精灵种族技能；保留 of the Doomed 限定，不缩写为“加速”
Mental Tyranny	心灵暴政	T.GAME.TALENT	talents	talent name	preferred	core	意志系奥义技能名；Tyranny 表示以意志统治一切，不译作“灵魂之怒”
Retch	腐秽呕吐	T.GAME.TALENT	talents	talent name	preferred	core	食尸鬼种族技能；在地面制造呕吐区域，治疗不死族并伤害其他生物
Gnaw	啃噬	T.GAME.TALENT	talents	talent name	preferred	core	食尸鬼近战技能及召唤物能力；与技能描述中的啃咬动作保持一致
Lich Regeneration	巫妖再生	T.GAME.TALENT	talents	tformat	preferred	core	不死之躯死亡选项；强调身体再生至满生命，不泛化为普通复活
Moment of Prescience	预知时刻	T.GAME.TALENT	talents	talent name	preferred	core	短暂将意识完全收束于当下并强化侦测、闪避与命中；Moment 不译作“门”
Gather the Threads	聚拢时间线	T.GAME.TALENT	talents	talent name	preferred	core	从其他时间线聚集能量的时空技能；Threads 指多条时间线，不译作“螺旋”
Temporal Wake	时空尾迹	T.GAME.TALENT	talents	talent name	preferred	core	传送经过路径留下的时空尾迹；Wake 指尾迹而非“苏醒”
Spin Fate	命运之丝	T.GAME.TALENT	talents	talent name	preferred	core	受击时叠加、提高闪避与豁免的增益；单层效果值与层数需明确区分
Uppercut	上勾拳	T.GAME.TALENT	talents	talent name	preferred	core	终结技名称及动作日志；按拳击术语统一使用“勾拳”，不写作“钩拳”
Lord of Skulls	骷髅王	T.GAME.TALENT	talents	talent name	preferred	core	亡灵随从强化技能；与正文、状态日志及职业变体统一，不写作“骷髅之王”
Eldritch Stone	奥术岩盾	T.GAME.TALENT	talents	talent name	preferred	core	岩石守卫护盾技能；吸收伤害并在结束时将失衡值转化为奥术爆炸，不漏译 Eldritch
Rain of Spikes	岩刺之雨	T.GAME.TALENT	talents	talent name	preferred	core	水晶分身的大范围流血技能；统一技能名与 Power Core 说明，不写作“尖刺之雨”
Arcane Amplification Drone	奥术增幅装置	T.GAME.TALENT	talents	talent name	preferred	dlc	Embers of Rage 奥术技能生成的伤害增幅装置；统一技能名、效果名、说明及小写运行时条目，不写作“增福装置”
Cleansing Flames	净化之焰	T.GAME.TALENT	talents	talent name	preferred	core	净化者站在火焰地形中触发的持续净化效果；统一技能名、状态名、说明及获得日志，不写作“净化之炎”
Corrupting Strike	腐化打击	T.GAME.TALENT	talents	talent name	preferred	core	疫病双持攻击技能，先腐化目标、移除自然持续效果再以双武器攻击；统一技能名、使用条件日志及同名状态，不写作“黑暗连击”
Chromatic Fury	多彩之怒	T.GAME.TALENT	talents	talent name	preferred	core	高等龙族被动技能，强化多种伤害、抗性与抗性穿透；与 Chromatic Resonance、Chromatic Resistance 的“多彩”译法统一，不引入原文没有的天龙概念
Indiscernible Anatomyblabla	难以辨认的解剖结构	T.GAME.TALENT	talents	talent name	preferred	core	软泥身体技能；上游名称带有残留占位后缀 blabla，按内部器官融合、解剖结构模糊的实际语境翻译，不误写成仅指骨骼
Darkest Light	至暗之光	T.GAME.TALENT	talents	talent name	preferred	core	堕落太阳系日蚀技能；同时造成光系与暗影伤害并在两者间转换敌方伤害，不误写为“无尽黑暗”
Cloaking Device	隐形装置	T.GAME.TALENT	talents	talent name	preferred	dlc	Embers of Rage 蒸汽科技技能；利用披风上的反射镜获得潜行强度，不译作含义模糊的“屏蔽设备”
Explosive Steam Engine	爆炸蒸汽引擎	T.GAME.TALENT	talents	talent name	preferred	dlc	Embers of Rage 战争机械技能；投掷会爆炸的不稳定蒸汽引擎，保持名词性技能名并同步后续说明中的引用
Hymn of Detection	侦测圣诗	T.GAME.TALENT	talents	talent name	preferred	core	月亮圣诗技能；提高潜行与隐形侦测、允许无惩罚攻击不可见目标并强化暴击伤害，统一技能名及圣诗入门/专家中的引用
thuggery	暴徒手段	T.GAME.TALENT	talents	talent type	preferred	core	以头槌、暴力抗性、恶毒打击和不择手段为主题的技能树类别；与 assassination“暗杀”区分，叙述语境可按句义译作“暴力”
Curse of Defenselessness	无防备诅咒	T.GAME.TALENT	talents	talent name	preferred	core	堕落系诅咒技能；降低目标闪避与所有豁免，使其难以防御，不写作含义宽泛的“衰竭诅咒”
Reality Breach	现实切裂	T.GAME.TALENT	talents	talent name	preferred	dlc	Embers of Rage 科技法术技能名；统一技能标题、施放条件和相关技能说明中的引用
Medical Injector	医疗注射器	T.GAME.TALENT	talents	talent name	preferred	dlc	Embers of Rage 药剂注射技能与植入物选择项名称；统一为“医疗注射器”，不写作“药物注射器”
Time Shield	时间盾	T.GAME.TALENT	talents	talent name	preferred	core	时空静止系技能及同名状态；统一技能说明与异常效果中的引用，并与 Temporal Shield“时光之盾”区分
Giant Leap	巨人飞跃	T.GAME.TALENT	talents	talent name	preferred	core	力量系奥义及骷髅王战士技能；跳向目标、落地造成范围伤害与眩晕，并解除自身震慑、眩晕和定身，不误作践踏
You Shall Be My Weapon!	你将成为我的武器！	T.GAME.TALENT	talents	talent name	preferred	core	力量系奥义及骷髅王骨巨人技能；重击、击退并震慑目标，保留对敌人说话的标题语气
Bone Grab	白骨之握	T.GAME.TALENT	talents	talent name	preferred	core	白骨系抓取技能；将目标拉近或推远并定身，统一技能名与抵抗传送日志，不与 Bone Spear“白骨之矛”混淆
Impaler Shell	穿刺弹	T.GAME.TALENT	talents	talent name	preferred	dlc	Embers of Rage 蒸汽枪弹药技能及材质等级名称模板；Impaler 表示穿刺，不写作“冲击弹”
Twilit Echoes	暮光回响	T.GAME.TALENT	talents	talent name	preferred	dlc	Embers of Rage 黄昏系技能；光系伤害造成减速，暗影伤害生成可由后续伤害刷新的地块效果，统一重复运行时键及状态说明
Probability Travel	次元移动	T.GAME.TALENT	talents	talent name	preferred	core	时空系概率旅行技能；通过概率效应穿越墙壁，统一技能名、状态名及异常名称，不写作“相位移动”或直译为“概率移动”
Temporal Clone	时空复制	T.GAME.TALENT	talents	talent name	preferred	core	时空系复制技能；统一技能标题及异常名称；普通名词 temporal clone 可按实体语境译作“时空克隆体”
Searing Sight	灼热之视	T.GAME.TALENT	talents	talent name	preferred	core	光辉系技能；每回合灼烧光辉范围内敌人并可能使其眩晕且致盲，不写作“灼烧/灼热之矛”
Searing Sight	灼热之视	T.GAME.TALENT	talents	tformat	preferred	core	灼热之视在增益效果与职业进阶说明中的引用
Searing Sight	灼热之视	T.GAME.TALENT	talents	_t	preferred	core	灼热之视在职业进阶解锁文本中的引用
Poisonous Crawl	剧毒攀附	T.GAME.TALENT	talents	talent name	preferred	core	生物攀附到目标身上并以毒液覆盖目标的技能；crawl 指攀附动作，不作“爪”
Acidic Crawl	酸蚀攀附	T.GAME.TALENT	talents	talent name	preferred	core	生物攀附到目标身上并以酸液覆盖目标的技能；与 Poisonous Crawl 成对，不作“酸爪”
Jumpgate Two	跃迁之门II	T.GAME.TALENT	talents	talent name	preferred	core	暮光系第二座跃迁之门技能；保留罗马数字 II，并与其传送技能保持前缀一致
Jumpgate Two: Teleport To	跃迁之门II：传送	T.GAME.TALENT	talents	talent name	preferred	core	传送至第二座跃迁之门的技能；不写作“跃迁之门：传送II”
Frost Infusion	冰霜充能	T.GAME.TALENT	talents	talent name	preferred	core	炼金术师为炸弹注入寒冷伤害的持续技能；说明引用中不写作“寒冰充能”
Frost Infusion	冰霜充能	T.GAME.TALENT	talents	tformat	preferred	core	技能说明中对同名持续技能的引用；与 talent name 保持一致
Hiemal Shield	寒冬护盾	T.GAME.TALENT	talents	talent name	preferred	core	荒芜之地系寒冰护盾技能专名；统一技能名及说明引用
hiemal shield	寒冬护盾	T.GAME.TALENT	talents	tformat	preferred	core	技能说明中的小写专名引用；不写作“寒冰护盾”
Evasive Shots	闪避射击	T.GAME.TALENT	talents	talent name	preferred	dlc	Embers of Rage 枪手闪避反击技能；名称保留 evasive 的闪避语义，不作“反击射击”
Flamethrower	火焰喷射器	T.GAME.TALENT	talents	talent name	preferred	dlc	Embers of Rage 重装武器技能名；统一多个技能入口
Flamethrower	火焰喷射器	T.GAME.TALENT	talents	tformat	preferred	dlc	重装武器说明中的同名武器引用；与 talent name 保持一致
Trained Reactions	受训反应	T.GAME.TALENT	talents	talent name	preferred	core	杂耍系防御持续技能；强调经过训练形成的反应能力，并统一两个技能定义及相关冷却、触发状态
Anomaly Spacetime Tear	异常：时空裂口	T.GAME.TALENT	talents	talent name	preferred	core	时空异常技能名；在时空结构上撕开裂口，不写作“异常：空间撕裂”
Cannibalize	吞噬	T.GAME.TALENT	talents	talent name	preferred	dlc	possessors 附身系技能：吞噬储备身体以补充当前身体；统一技能名、对话框按钮与描述，不写作“合并”
Writhing Psionic Mass	扭动灵能团	T.GAME.TALENT	talents	talent name	preferred	dlc	possessors 深恐系技能：身体周围扭动的灵能团块；统一技能名与状态串，不写作“扭曲装甲”
superiority	战术优化	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	superiority 技能树分类译名；与 effect subtype 的“优势”区分；P0 审核确认
Breach	破防	T.GAME.TALENT	talents	talent name	preferred	core	时空战斗系主动技能：通过降低护甲强度和震慑、定身、致盲、混乱免疫来突破防御，而非毁灭目标；不得译为“破灭”
Breach	破防	T.GAME.TALENT	talents	_t	preferred	core	与技能名“破防”一致的效果/状态显示名（+破防/-破防）
